LO	SECTIONS	CODE	SOURCE
22.29	31.03	Penal Code	Tertiary (via hb1163.txt)
22.29	31.11	Penal Code	Tertiary (via hb1163.txt)
22.29	524.011	Transportation Code	Tertiary (via hb1163.txt)
22.29	524.015	Transportation Code	Tertiary (via hb1163.txt)
22.29	524.023	Transportation Code	Tertiary (via hb1163.txt)
22.29	524.042	Transportation Code	Tertiary (via hb1163.txt)
22.29	16.23	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	17.441	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	18.01	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	18.02	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	18.067	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	42A.102	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	42A.453	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	42A.408	Code of Criminal Procedure	Tertiary (via hb1163.txt)
22.29	191	Natural Resources Code	Tertiary (via hb1163.txt)
22.29	160	Tax Code	Tertiary (via hb1163.txt)
22.29	7	Transportation Code	Tertiary (via hb1163.txt)
22.29	26	Water Code	Tertiary (via hb1163.txt)
22.30	550.001	Transportation Code	Direct
22.30	550.021	Transportation Code	Direct
22.30	550.022	Transportation Code	Direct
22.30	550.023	Transportation Code	Direct
22.30	550.024	Transportation Code	Direct
22.30	550.025	Transportation Code	Direct
22.30	550.026	Transportation Code	Direct
22.30	550.041	Transportation Code	Direct
22.30	550.062	Transportation Code	Direct
22.30	550.063	Transportation Code	Direct
22.30	550.064	Transportation Code	Direct
22.30	19.04	Penal Code	Direct
22.30	19.05	Penal Code	Direct
22.30	49.07	Penal Code	Direct
22.30	49.08	Penal Code	Direct
22.30	28.09	Penal Code	Tertiary (via 19.04)
22.31	546	Transportation Code	Direct
22.31	545.3051	Transportation Code	Direct
22.31	600.001	Transportation Code	Direct
22.31	542.501	Transportation Code	Direct
22.37	541.002	Transportation Code	Direct
22.37	546.007	Transportation Code	Direct
22.37	545.156	Transportation Code	Direct
